Source,Target,Type,Id,Label,Weight
0,1,Undirected,0,,1
0,2,Undirected,1,,1
0,3,Undirected,2,,1
0,4,Undirected,3,,1
0,5,Undirected,4,,1
0,6,Undirected,5,,1
0,7,Undirected,6,,1
0,8,Undirected,7,,1
0,9,Undirected,8,,1
0,10,Undirected,9,,1
0,11,Undirected,10,,1
0,12,Undirected,11,,1
0,13,Undirected,12,,1
0,14,Undirected,13,,1
0,15,Undirected,14,,1
0,16,Undirected,15,,1
0,17,Undirected,16,,1
0,18,Undirected,17,,1
0,19,Undirected,18,,1
0,20,Undirected,19,,1
0,21,Undirected,20,,1
0,22,Undirected,21,,1
0,23,Undirected,22,,1
0,24,Undirected,23,,1
0,25,Undirected,24,,1
0,26,Undirected,25,,1
0,27,Undirected,26,,1
0,28,Undirected,27,,1
0,29,Undirected,28,,1
0,30,Undirected,29,,1
0,31,Undirected,30,,1
0,32,Undirected,31,,1
0,33,Undirected,32,,1
0,34,Undirected,33,,1
0,35,Undirected,34,,1
0,36,Undirected,35,,1
0,37,Undirected,36,,1
0,38,Undirected,37,,1
0,39,Undirected,38,,1
1,39,Undirected,39,,1
1,2,Undirected,40,,1
1,3,Undirected,41,,1
1,5,Undirected,42,,1
1,4,Undirected,43,,1
1,6,Undirected,44,,1
1,7,Undirected,45,,1
1,8,Undirected,46,,1
1,9,Undirected,47,,1
1,10,Undirected,48,,1
1,11,Undirected,49,,1
1,12,Undirected,50,,1
1,13,Undirected,51,,1
1,14,Undirected,52,,1
1,15,Undirected,53,,1
1,16,Undirected,54,,1
1,17,Undirected,55,,1
1,18,Undirected,56,,1
1,19,Undirected,57,,1
1,20,Undirected,58,,1
1,21,Undirected,59,,1
1,22,Undirected,60,,1
1,23,Undirected,61,,1
1,24,Undirected,62,,1
1,25,Undirected,63,,1
1,26,Undirected,64,,1
1,27,Undirected,65,,1
1,28,Undirected,66,,1
1,29,Undirected,67,,1
1,30,Undirected,68,,1
1,31,Undirected,69,,1
1,32,Undirected,70,,1
1,33,Undirected,71,,1
1,34,Undirected,72,,1
1,35,Undirected,73,,1
1,36,Undirected,74,,1
1,37,Undirected,75,,1
1,38,Undirected,76,,1
1,39,Undirected,77,,1
2,39,Undirected,78,,1
2,0,Undirected,79,,1
2,1,Undirected,80,,1
2,3,Undirected,81,,1
2,4,Undirected,82,,1
2,5,Undirected,83,,1
2,6,Undirected,84,,1
2,7,Undirected,85,,1
2,8,Undirected,86,,1
2,9,Undirected,87,,1
2,10,Undirected,88,,1
2,11,Undirected,89,,1
2,12,Undirected,90,,1
2,13,Undirected,91,,1
2,14,Undirected,92,,1
2,15,Undirected,93,,1
2,16,Undirected,94,,1
2,17,Undirected,95,,1
2,18,Undirected,96,,1
2,19,Undirected,97,,1
2,20,Undirected,98,,1
2,21,Undirected,99,,1
2,22,Undirected,100,,1
2,23,Undirected,101,,1
2,24,Undirected,102,,1
2,25,Undirected,103,,1
2,26,Undirected,104,,1
2,27,Undirected,105,,1
2,28,Undirected,106,,1
2,29,Undirected,107,,1
2,30,Undirected,108,,1
2,31,Undirected,109,,1
2,32,Undirected,110,,1
2,33,Undirected,111,,1
2,34,Undirected,112,,1
2,35,Undirected,113,,1
2,36,Undirected,114,,1
2,37,Undirected,115,,1
2,38,Undirected,116,,1
2,39,Undirected,117,,1
3,39,Undirected,118,,1
3,38,Undirected,119,,1
3,37,Undirected,120,,1
3,36,Undirected,121,,1
3,35,Undirected,122,,1
3,34,Undirected,123,,1
3,33,Undirected,124,,1
3,32,Undirected,125,,1
3,31,Undirected,126,,1
3,30,Undirected,127,,1
3,29,Undirected,128,,1
3,28,Undirected,129,,1
3,27,Undirected,130,,1
3,26,Undirected,131,,1
3,25,Undirected,132,,1
3,24,Undirected,133,,1
3,23,Undirected,134,,1
3,22,Undirected,135,,1
3,21,Undirected,136,,1
3,20,Undirected,137,,1
3,19,Undirected,138,,1
3,18,Undirected,139,,1
3,17,Undirected,140,,1
3,16,Undirected,141,,1
3,0,Undirected,142,,1
3,1,Undirected,143,,1
3,2,Undirected,144,,1
3,3,Undirected,145,,1
3,4,Undirected,146,,1
3,5,Undirected,147,,1
3,6,Undirected,148,,1
3,7,Undirected,149,,1
3,8,Undirected,150,,1
3,9,Undirected,151,,1
3,10,Undirected,152,,1
3,11,Undirected,153,,1
3,12,Undirected,154,,1
3,13,Undirected,155,,1
3,14,Undirected,156,,1
3,15,Undirected,157,,1
4,0,Undirected,158,,1
4,1,Undirected,159,,1
4,2,Undirected,160,,1
4,3,Undirected,161,,1
4,4,Undirected,162,,1
4,5,Undirected,163,,1
4,6,Undirected,164,,1
4,7,Undirected,165,,1
4,8,Undirected,166,,1
4,9,Undirected,167,,1
4,10,Undirected,168,,1
4,11,Undirected,169,,1
4,12,Undirected,170,,1
4,13,Undirected,171,,1
4,14,Undirected,172,,1
4,15,Undirected,173,,1
4,16,Undirected,174,,1
4,17,Undirected,175,,1
4,18,Undirected,176,,1
4,19,Undirected,177,,1
4,20,Undirected,178,,1
4,21,Undirected,179,,1
4,22,Undirected,180,,1
4,23,Undirected,181,,1
4,24,Undirected,182,,1
4,25,Undirected,183,,1
4,26,Undirected,184,,1
4,27,Undirected,185,,1
4,28,Undirected,186,,1
4,29,Undirected,187,,1
4,30,Undirected,188,,1
4,31,Undirected,189,,1
4,32,Undirected,190,,1
4,33,Undirected,191,,1
4,34,Undirected,192,,1
4,35,Undirected,193,,1
4,36,Undirected,194,,1
4,37,Undirected,195,,1
4,38,Undirected,196,,1
4,39,Undirected,197,,1
